store,websites,attribute_set,categories,type,sku,name,image,small_image,thumbnail,gallery,color,size,description,short_description,price,weight,has_options,is_in_stock,qty,status,tax_class_id,visibility,associated,config_attributes,config_code-is_per-size,config_code-is_per-color
admin,base,Default,"Tops,Jeans",simple,LLMM000031035,Super Skinny Bleached Denim Jeans-25W ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,black,L,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",17.99,135,0,1,10,Enabled,None,Not Visible Individually,,,,
admin,base,Default,"Tops,Jeans",simple,LLMM000031037,Super Skinny Bleached Denim Jeans-26W ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,blue,M,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",17.99,136,0,1,10,Enabled,None,Not Visible Individually,,,,
admin,base,Default,"Tops,Jeans",simple,LLMM000031038,Super Skinny Bleached Denim Jeans-27W ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,red,S,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",17.99,137,0,1,10,Enabled,None,Not Visible Individually,,,,
admin,base,Default,"Tops,Jeans",simple,LLMM000031039,Super Skinny Bleached Denim Jeans-28W ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,blue,M,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",17.99,136,0,1,10,Enabled,None,Not Visible Individually,,,,
admin,base,Default,"Tops,Jeans",simple,LLMM000031040,Super Skinny Bleached Denim Jeans-29W ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,blue,M,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",17.99,136,0,1,20,Enabled,None,Not Visible Individually,,,,
admin,base,Default,"Tops,Jeans",configurable,LLMM000031031,Super Skinny Bleached Denim Jeans ,/T1iIh2XsdgXXXXXXXX_!!0-item_pic.jpg,/T1v5J5XxdXXXXXXXXX_!!0-item_pic.jpg,/T2_avzXflaXXXXXXXX_!!1636940752.jpg,/T2oV8RXd4eXXXXXXXX_!!1636940752.jpg;/T26GbyXmXaXXXXXXXX_!!1636940752.jpg,,,"CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ","CATWALK88 SUPER SKINNY DENIM JEAN IN GREAT STYLE, LOOK AND FIT! Designed by our European design team this is true value for money and with a soft, lightweight finish, lots of stretch and ultra skinny legs. They feel like a second skin. The attention to detail with subtle fashion features on the back pockets, beautifully designed rivets and buttons makes this pair a true must have. ",999.99,138,1,1,20,Enabled,None,"Catalog, Search","LLMM000031035,LLMM000031037,LLMM000031038,LLMM000031039,LLMM000031040","size,color","S:0:1,M:0:3,L:0:4","red:0:1,black:0:2,blue:0:4"
